train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps
0.0003,-16.104076385498047,0.019545966759324074,0.27737128734588623,220.01840500999995,2.874366283416748,10110,100899,505,200.0,9,101000
0.0003,-16.17786979675293,0.019599393010139465,0.7256902456283569,220.07514566999998,-1.69222891330719,10130,101099,506,200.0,9,101200
0.0003,-16.647722244262695,0.019324688240885735,0.3570363521575928,220.15395777999996,0.717257022857666,10150,101299,507,200.0,9,101400
0.0003,-16.207538604736328,0.019398173317313194,0.29742586612701416,220.06229825999992,-0.9339909553527832,10170,101499,508,200.0,9,101600
0.0003,-16.056428909301758,0.01918783038854599,0.6058131456375122,220.45377097999997,0.7514175772666931,10190,101699,509,200.0,9,101800
0.0003,-16.74966812133789,0.019378051161766052,0.33417826890945435,220.40847262999995,-0.8142847418785095,10210,101899,510,200.0,9,102000
0.0003,-16.57822608947754,0.019461294636130333,0.4576790928840637,220.42944555999995,1.8877912759780884,10230,102099,511,200.0,9,102200
0.0003,-16.291168212890625,0.01925947517156601,0.4740281105041504,221.24498629999994,-2.0823745727539062,10251,102299,512,200.0,9,102400
0.0003,-16.32402801513672,0.019380319863557816,1.435876727104187,221.33609105999997,-0.6604838371276855,10271,102499,513,200.0,9,102600
0.0003,-16.308837890625,0.019509324803948402,0.35048529505729675,221.28999969999998,-0.033265769481658936,10291,102699,514,200.0,9,102800
0.0003,-16.116371154785156,0.019750528037548065,0.5226024389266968,221.42527031999998,-0.3568015992641449,10311,102899,515,200.0,9,103000
0.0003,-16.182050704956055,0.01977626420557499,0.2579522132873535,221.45879491,-0.6440237760543823,10331,103099,516,200.0,9,103200
0.0003,-16.22689437866211,0.01969333551824093,0.3346455693244934,221.63823004999998,-0.5047427415847778,10351,103299,517,200.0,9,103400
0.0003,-16.48918342590332,0.019747428596019745,1.1936672925949097,221.57324026999999,-0.19226551055908203,10371,103499,518,200.0,9,103600
0.0003,-16.50946044921875,0.019787654280662537,0.2766023278236389,221.70401983,0.7504072785377502,10391,103699,519,200.0,9,103800
0.0003,-16.14809226989746,0.019728736951947212,0.532037079334259,221.8351012,-0.29550302028656006,10411,103899,520,200.0,9,104000
0.0003,-16.6539249420166,0.02017582394182682,0.43326830863952637,222.60932602999998,-0.31501033902168274,10431,104099,521,200.0,9,104200
0.0003,-15.956321716308594,0.020033329725265503,1.069223403930664,222.94249821000002,0.8614243865013123,10451,104299,522,200.0,9,104400
0.0003,-16.414491653442383,0.020028334110975266,0.4064883589744568,223.72451031,-0.10105043649673462,10471,104499,523,200.0,9,104600
0.0003,-16.464542388916016,0.01993739791214466,0.5223931074142456,225.03067425999996,2.8356428146362305,10491,104699,524,200.0,9,104800
0.0003,-15.534399032592773,0.01981355808675289,0.4792518615722656,225.05492617999997,0.6258817911148071,10511,104899,525,200.0,9,105000
0.0003,-15.90286636352539,0.019902167841792107,0.354856938123703,225.05205220999997,-1.595778465270996,10531,105099,526,200.0,9,105200
0.0003,-16.045085906982422,0.019978005439043045,0.913787841796875,225.27829450999997,0.3410850763320923,10551,105299,527,200.0,9,105400
0.0003,-15.918763160705566,0.01988096907734871,0.38459542393684387,225.49160541999998,1.5304080247879028,10571,105499,528,200.0,9,105600
0.0003,-16.419466018676758,0.019839419052004814,0.32187122106552124,225.73134118999994,0.8766748905181885,10591,105699,529,200.0,9,105800
0.0003,-15.917871475219727,0.019770687445998192,0.2634156048297882,225.6100805,-0.26425373554229736,10611,105899,530,200.0,9,106000
0.0003,-15.932682037353516,0.019903112202882767,0.3120391368865967,225.64785474000004,-0.5449844002723694,10631,106099,531,200.0,9,106200
0.0003,-16.13542366027832,0.01991209201514721,0.32864147424697876,225.6062928,0.3863338232040405,10651,106299,532,200.0,9,106400
0.0003,-15.758878707885742,0.019869619980454445,0.31464141607284546,225.56993982000003,2.1146011352539062,10671,106499,533,200.0,9,106600
0.0003,-15.347114562988281,0.019801156595349312,0.3724944293498993,225.61090557,4.409195423126221,10691,106699,534,200.0,9,106800
0.0003,-16.08127784729004,0.01969125121831894,0.22910965979099274,225.74677228000002,-0.37710216641426086,10711,106899,535,200.0,9,107000
0.0003,-16.05360984802246,0.019890038296580315,0.35576266050338745,225.58147129,-1.4256224632263184,10731,107099,536,200.0,9,107200
0.0003,-16.206571578979492,0.019757581874728203,0.43998414278030396,225.73055471,0.5733445882797241,10751,107299,537,200.0,9,107400
0.0003,-16.48514175415039,0.019935863092541695,0.37928053736686707,225.78435999,-0.49976903200149536,10771,107499,538,200.0,9,107600
0.0003,-15.925159454345703,0.020102106034755707,0.4299481511116028,225.71246528999995,0.767365574836731,10791,107699,539,200.0,9,107800
0.0003,-15.893608093261719,0.020059755071997643,0.3150571286678314,225.72946290999997,-1.9444670677185059,10811,107899,540,200.0,9,108000
0.0003,-16.244970321655273,0.019935278221964836,0.4745677411556244,225.81717861,-0.6308954954147339,10831,108099,541,200.0,9,108200
0.0003,-16.350666046142578,0.019999923184514046,0.3668317198753357,225.82180457,1.031409502029419,10851,108299,542,200.0,9,108400
0.0003,-16.76275062561035,0.019830750301480293,0.4516090154647827,226.00267331999999,-0.5702210664749146,10871,108499,543,200.0,9,108600
0.0003,-16.791439056396484,0.019703729078173637,0.6010516285896301,226.17061559,-1.7098933458328247,10891,108699,544,200.0,9,108800
0.0003,-16.370969772338867,0.01976645551621914,0.3399939239025116,226.39861797,1.1145521402359009,10911,108899,545,200.0,9,109000
