train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0003,26800,0.00930904969573021,2682,200.0,0.40942513942718506,1.3800101280212402,26699,48.482023330000004,134,9,-3.8724653720855713
0.0003,27000,0.009473571553826332,2702,200.0,0.2384146749973297,0.5055503845214844,26899,49.981972719999995,135,9,-4.025265693664551
0.0003,27200,0.00942324660718441,2722,200.0,0.20743930339813232,-0.9049614071846008,27099,52.30162222,136,9,-3.580756664276123
0.0003,27400,0.00952199473977089,2742,200.0,0.19832809269428253,1.7235982418060303,27299,54.06483740999999,137,9,-3.7730090618133545
0.0003,27600,0.009664862416684628,2762,200.0,0.19057819247245789,1.6513012647628784,27499,55.65263835999999,138,9,-4.3948869705200195
0.0003,27800,0.009836986660957336,2782,200.0,0.24437838792800903,-0.6565902233123779,27699,57.02670687999999,139,9,-3.777900218963623
0.0003,28000,0.009951451793313026,2802,200.0,0.23082086443901062,-4.8036017417907715,27899,57.574205490000004,140,9,-4.11669921875
0.0003,28200,0.009988795034587383,2822,200.0,0.21781617403030396,5.334108829498291,28099,58.27372479,141,9,-4.454624652862549
0.0003,28400,0.010003771632909775,2842,200.0,0.2251136153936386,-0.6782306432723999,28299,59.308012209999994,142,9,-4.180784702301025
0.0003,28600,0.010123691521584988,2862,200.0,0.26403525471687317,-0.21916240453720093,28499,61.43116611000001,143,9,-4.014055252075195
0.0003,28800,0.01014631800353527,2882,200.0,0.2986099123954773,1.1087647676467896,28699,62.80750385999999,144,9,-4.047670841217041
0.0003,29000,0.010237064212560654,2902,200.0,0.2015846222639084,-0.11378845572471619,28899,65.06874588999999,145,9,-4.3881330490112305
0.0003,29200,0.010329395532608032,2922,200.0,0.2940058708190918,2.52622127532959,29099,66.93231031,146,9,-4.199590682983398
0.0003,29400,0.010287108831107616,2942,200.0,0.21154482662677765,-2.518760919570923,29299,69.02796421000001,147,9,-4.134945869445801
0.0003,29600,0.01042967289686203,2962,200.0,0.1997210830450058,0.09390157461166382,29499,70.66564356,148,9,-4.816915512084961
0.0003,29800,0.01055478397756815,2982,200.0,0.44360554218292236,4.922339916229248,29699,72.11248012,149,9,-4.402195453643799
0.0003,30000,0.010617169551551342,3003,200.0,0.24072089791297913,-1.2785580158233643,29899,72.92715397,150,9,-4.725106716156006
